year,lat,lng
2016,33.423056,43.323333
2016,33.405936,43.45128
2016,34.61872,43.656722
2016,31.132093,33.803276
2016,19.495566,84.178966
2016,48.405407,2.701303
2016,48.377975,2.795174
2016,51.048615,-114.070846
2016,32.416936,14.813014
2016,2.140692,45.116942
2016,37.025057,66.356849
2016,33.564012,69.898946
2016,33.528559,70.058913
2016,30.57842,15.400255
2016,34.183651,45.122219
2016,33.747793,44.60644
2016,33.192241,44.410312
2016,0.852222,29.6125
2016,6.688453,124.678773
2016,9.648444,125.598609
2016,36.449728,43.351881
2016,32.462068,35.302535
2016,5.642885,100.489173
2016,36.228463,37.143613
2016,43.293705,5.375662
2016,34.809574,72.358386
2016,34.427431,70.450015
2016,33.305133,44.488822
2016,33.978518,44.936331
2016,33.978518,44.936331
2016,33.376952,44.70296
2016,33.750047,44.633168
2016,33.435667,44.534135
2016,34.099192,42.389273
2016,33.897803,44.813111
2016,33.897803,44.813111
2016,33.897803,44.813111
2016,33.897803,44.813111
2016,33.897803,44.813111
2016,33.897803,44.813111
2016,33.897803,44.813111
2016,33.978518,44.936331
2016,33.978518,44.936331
